35108,7154,46020
79269,47234,23780
106,68654,2448
22029,68980,80210
291,6796,76825
17795,58073,18260
80849,8745,67560
50731,26704,69921
92930,13113,63590
85842,36041,78655
94151,11492,8321
51805,85031,40238
75185,7781,90688
45899,33929,500
89035,4034,62588
52093,6538,71994
31088,24961,31692
32,704,78883
8602,10818,89855
51531,41435,15228
47877,92842,70972
85187,30545,80622
46396,26102,96819
46476,69780,42026
63029,24579,43211
65640,34181,78815
75445,95726,40403
71544,78092,99480
5949,65767,92307
62301,67576,34884
73207,9140,95171
24879,28121,48756
89863,33751,59198
63948,90841,54949
24036,59819,91831
64532,68171,171
89791,6572,39473
85095,82494,65213
535,15707,27041
73607,65686,33661
29320,45093,3808
31836,74275,67512
36820,90293,30601
50829,91804,69673
81033,86569,17936
77756,83413,66442
88612,38306,58616
20274,75713,22936
12670,99710,3321
34028,22888,35494
79472,41155,75719
90271,28676,5666
18846,75486,37639
72593,46482,85802
9695,49656,47232
65434,47956,27505
13295,71812,46674
60372,1414,58934
28484,22811,95442
7837,81179,76140
1392,78655,850
21641,94754,18281
63240,29431,81035
1413,17212,19522
50737,9646,13369
30926,44507,12970
58059,56176,60353
37566,73924,91461
58300,11108,79218
70273,56869,26855
90968,13304,86478
66861,53358,55963
16131,55672,79942
62765,8393,63274
33795,24668,73166
50957,6329,69865
80544,18651,66518
23355,87179,6436
55924,87565,17246
66964,90181,11395
88837,26795,78445
83044,68335,11981
93133,52112,80124
22024,62847,26528
66453,93578,41641
32254,34149,24462
43141,89415,1234
4879,54063,82886
59897,77743,39379
62730,53274,77010
72014,38560,55306
51640,10116,59368
86847,4670,71465
38145,70868,69663
29820,69209,57048
20140,64215,40312
45615,97389,7579
94804,34458,35993
63361,99433,57430
28570,31852,7221
88366,67448,25107
23527,50500,23405
60165,26504,98237
14205,33694,14878
64099,98779,72293
49363,82304,28517
66227,76123,88965
43754,70837,17789
42087,21418,59825
49797,20221,35311
44070,46703,22067
62177,4799,47749
59058,59112,2470
6142,74913,7455
4431,18339,39355
97937,62601,84039
4354,56078,74496
93934,19943,36518
79833,39405,30172
62964,3745,59005
88409,45638,24802
92447,82790,61432
60406,79973,68129
50649,57672,88205
88513,36995,9104
41986,6626,59965
78903,13248,50742
67714,97645,44920
50461,27650,25577
41250,67345,96256
83749,21162,79458
50832,38312,32537
49838,27067,98082
51087,81429,57519
45358,15130,26158
48363,81836,68693
97460,23249,97675
30422,15546,63190
94622,69433,57386
66071,41628,35266
61421,76309,61600
55068,55232,8519
34398,14099,96108
24474,17502,76248
85248,62491,91286
69656,89901,56449
9650,62505,70519
88405,3783,28913
6187,66137,42050
61502,68263,3496
82621,22041,44205
57242,78309,44608
28536,65793,61004
66549,1521,71149
72372,74269,16408
40124,39717,16147
29393,41035,63000
70149,81588,60353
68136,14488,85953
44686,50401,55606
74011,38156,32884
27634,14496,16137
71583,13892,59094
32731,69408,15859
87133,41897,4776
34273,82173,88196
20805,45408,57733
11467,62635,82318
68041,65771,42920
33854,62225,13741
79003,85707,18556
46423,95111,68906
89302,71029,54602
87177,89000,56294
61995,39821,19969
80666,3342,79608
82123,72020,23077
73036,536,90476
32786,4724,97753
95947,24400,69187
70395,68889,99877
66556,15424,52318
9145,97373,13260
43051,6121,83548
67604,44628,32603
14351,38544,69044
35239,79036,81964
31645,20989,41278
28199,67134,90682
88900,32478,25021
33310,48685,3504
1966,60396,47260
41288,84913,50805
71570,76237,12706
21900,96361,15859
91741,49446,790
49099,1377,2009
55184,89304,1955
7553,74398,21370
68947,22400,72796
55664,53612,62816
23133,37568,48238
94771,87109,56469
73618,60819,7937
89172,20284,77465
7455,80120,52589
30622,24229,42532
16534,69211,40255
81380,95650,82051
37575,19622,3101
95031,81108,14732
27844,44061,58481
2620,15250,34379
3686,2383,31367
53818,60209,68085
60426,52198,86130
25402,18535,62191
92847,82037,36319
19912,29013,34734
99135,42829,49304
3324,16832,55191
35397,27805,83755
79281,94448,49444
43293,66896,43218
25947,75688,57414
77340,76310,20819
64745,22898,18077
43210,8837,8274
11444,60511,81992
79030,6844,31274
35151,97318,58724
26956,63841,23963
4893,67101,92511
19127,62021,47526
94284,23219,80940
37668,31359,89923
74923,15038,69768
47978,48039,68762
67104,16944,34262
68558,79286,8202
19709,15056,4155
8027,76232,68522
17453,81487,33522
78549,47854,9618
65670,91736,39585
97373,56312,8805
16775,75137,31379
59523,66012,84580
40317,2496,11215
52497,13426,77902
56546,39517,95388
12142,2871,19463
31900,12614,5489
28438,78828,94263
85340,88666,80898
43731,52554,92710
81449,75750,65469
50209,36345,44708
65708,86945,6135
93893,81461,19174
41748,8947,28237
43112,93492,70305
5324,7759,2113
3295,54223,20247
48099,11876,24364
47330,72953,62382
64119,69017,58388
92951,99324,44386
78740,50275,75297
13147,83430,62049
65180,66233,33070
6670,1165,25573
624,33761,74713
17122,61479,63686
6875,56242,69762
71857,84685,83647
47077,66304,39665
50543,70990,43166
49765,99431,28982
54560,37492,82666
16833,23466,20303
3387,84115,68871
20918,16517,21778
66388,36670,43338
13930,21193,90087
98358,36843,4267
75030,7332,39462
34175,81152,79949
21066,35888,27303
48628,80428,88094
84657,68725,27078
70266,91480,7242
57056,31065,92155
2427,23690,37839
7589,20787,7006
1866,16720,49603
64856,50904,99249
60474,53916,86696
28055,44539,41447
93648,71166,24301
99026,81291,53524
75396,19895,48780
68797,68774,32768
58010,22706,57763
80139,22542,28050
62968,79367,43902
74977,42294,14167
12843,30071,4269
94219,196,7137
24741,36019,76216
29000,43857,31169
56268,11229,49460
84328,88526,39047
31800,84800,91883
41509,23335,69210
61595,51301,6553
91496,80299,53865
86058,26793,73362
419,21748,42200
1869,81046,14869
96706,92683,16646
24338,19744,12813
42684,77049,30530
31589,79604,72474
24042,7090,40376
81932,72494,37549
36836,8941,89598
40631,54972,25601
27669,46260,62317
86536,31497,96663
45748,66140,47405
51445,8001,75492
78399,58485,49274
15044,16989,12379
44859,69803,64094
21718,89579,81240
26257,12081,99035
49341,52719,21976
40578,58235,40358
99567,63373,47621
67036,75802,26775
1964,64874,98069
4959,21355,73999
32869,8883,7235
17226,37790,95239
17168,57348,15633
77278,53998,74554
76557,60900,83361
73053,78986,68099
61182,67217,4645
90829,80131,40207
56945,24313,55488
26576,91056,37419
354,67290,75957
47240,35259,75935
17742,18809,24865
51755,5211,22759
85438,74300,65493
62849,1120,19461
83095,60847,78635
84021,60675,33205
52142,89742,5997
57114,79424,35474
65489,43385,93920
61771,90675,70611
54290,4582,96117
95436,63671,18318
24716,13515,77987
2289,82893,76605
38868,34189,861
65134,18587,99030
44542,9506,57491
58301,90551,55234
78123,71782,34575
79135,33630,10762
49556,9800,63507
66448,32090,53560
99408,99265,64311
16150,63231,14169
91494,74157,94128
12792,41456,43687
9425,26521,36103
16024,64603,94752
14978,51601,11932
21662,79075,9470
36839,32677,95540
25491,61317,1142
81834,69509,68541
26949,14723,11112
11143,5376,14884
1795,94356,17259
23300,55404,66293
24760,68851,40700
31347,52164,87147
22414,23797,32883
74631,28041,20857
84504,86935,24910
35349,38543,30644
59418,44771,63422
68527,1248,86588
24008,2525,9226
69101,72341,9826
71435,17216,48441
55968,95077,35888
31499,66800,26363
38157,47427,6974
57756,45618,43486
36498,39825,37215
52223,25420,13717
46668,10745,28098
44199,3080,85664
7664,83774,75702
95084,64391,77586
38993,65570,41769
13830,73572,21005
45554,92684,82077
61051,25029,81267
34884,46999,94666
15859,92034,2300
57566,24189,36297
41974,70178,58612
23811,40233,28124
39652,28487,7564
74329,13058,52852
88799,28535,71861
69818,81316,8551
8041,78671,59801
81912,51528,25944
40644,26935,63149
92721,17753,46265
53626,58874,2867
17102,54184,59948
40628,60001,12309
81485,82822,94138
95508,29878,71225
28735,68995,59026
26255,27749,52229
62767,83479,13814
32434,97850,84535
35360,18318,29044
68197,72150,98040
73435,34277,64652
35541,16189,63489
14241,7861,14672
74010,57819,82447
56194,16626,92648
32231,79504,49333
36852,32717,68857
66067,6770,19545
28154,67792,74219
67783,1441,75098
11364,91475,24514
65270,16563,29929
33591,31824,46109
57603,73707,76733
10341,18953,7925
54167,61366,85588
34406,45961,37877
68010,41306,3092
1335,90877,28161
81234,9801,82391
69615,12448,20010
3373,4843,26928
75656,88751,79661
89609,47556,27588
13207,74596,8260
21723,85906,27545
95185,37519,68689
81362,89367,69842
16819,95962,85134
37783,6708,98283
74334,13380,85882
46895,18999,78537
59066,36858,41631
12923,35709,78348
52463,33295,93518
17956,39471,49451
60179,48598,27402
35909,12090,54181
26247,74196,29187
23245,23316,25897
12450,14064,64071
99668,63289,67323
29275,69672,78473
4416,65474,52052
31475,65569,4794
9369,81023,85872
12105,9532,74237
65358,93485,40646
38102,5804,61306
71156,86288,88892
76880,36173,4663
92705,31498,36478
28497,53885,7443
12484,36738,6617
10534,27461,77014
75293,39618,84441
1942,81269,62558
51091,59043,94564
85647,63775,88988
25377,18342,83584
69362,97437,58919
35989,2562,72858
21688,55275,9435
36491,31779,93382
16684,84763,70216
29020,41850,70442
27042,11030,99663
9293,32675,94351
6813,68625,82801
27231,16797,532
46924,44622,4541
6128,78725,30337
63142,81397,2802
65050,7710,92746
88639,59746,78057
11767,92330,35822
